user1@test.local,password1
user2@test.local,password2
user3@test.local,password3
alice@test.local,alice123
bob@test.local,bobpass
carol@test.local,carolpass
dave@test.local,dave_pw1
eve@test.local,evepw2
frank@test.local,frankimap
grace@test.local,gracepass
heidi@test.local,heidipw
ivan@test.local,ivan1234
judy@test.local,judypass
mallory@test.local,mallorypw
oscar@test.local,oscar2024
peggy@test.local,peggypass
trent@test.local,trentpw77
victor@test.local,victorimap
walter@test.local,walterpw99
xavier@test.local,xavierpw
yasmin@test.local,yasmin2024
zoe@test.local,zoepass
